,datePublished,id,publicationYear,anSQL,aSQL
57,2007-03-01,ark://27927/pc0m2m7tz,2007,0,1
58,2004-01-01,ark://27927/pc0mgxv73,2004,0,1
59,2004-03-01,ark://27927/pc0n62446,2004,1,0
60,2007-11-01,ark://27927/pd19qk5f1,2007,1,0
61,2007-11-01,ark://27927/pd3v97jgw,2007,1,0
62,2009-03-10,ark://27927/pf1d0271tp,2009,1,0
63,2008-12-01,ark://27927/pf1d1kdbdn,2008,1,0
64,2009-03-25,ark://27927/pf1f3vm7x2,2009,1,0
65,2009-04-01,ark://27927/pf1f4d0j8h,2009,1,0
66,2008-01-01,ark://27927/pf1qdvjwj,2008,1,0
67,2009-09-25,ark://27927/pf1wpfx9cr,2009,1,0
68,2009-09-01,ark://27927/pf1z4t25d9,2009,1,0
69,2009-09-01,ark://27927/pf1z58hq71,2009,0,1
70,2008-04-10,ark://27927/pf9m6d7c2,2008,1,0
71,2008-04-01,ark://27927/pfc4sh86k,2008,0,1
72,2008-06-25,ark://27927/pfgc453fq,2008,1,0
73,2008-01-01,ark://27927/pfm5jj77w,2008,0,1
74,2009-06-28,ark://27927/pgf1468c2bg,2009,1,0
75,2011-08-01,ark://27927/pgf17rmz0x8,2011,0,1
76,2010-07-01,ark://27927/pgf8jkf2q6,2010,1,0
77,2010-04-01,ark://27927/pgf8k87d9s,2010,0,1
78,2010-09-01,ark://27927/pgf8n0dx9q,2010,1,0
79,2007-06-01,ark://27927/pgf8pzbctt,2007,1,0
80,2009-01-13,ark://27927/pgff187ww0,2007,1,0
81,2011-03-01,ark://27927/pgfv7xc3pv,2011,0,1
82,2009-04-02,ark://27927/pgg1214cw5t,2009,1,0
83,2012-09-05,ark://27927/pgg1bk36mtz,2012,1,0
84,2011-11-25,ark://27927/pgg1bk4gvz3,2011,1,0
85,2012-11-01,ark://27927/pgg1f8mczv7,2012,1,0
86,2012-12-01,ark://27927/pgg1mzfb95t,2012,0,1
87,2013-01-01,ark://27927/pgg1n3k48wt,2013,1,0
88,2012-01-13,ark://27927/pgg1p62t8qm,2012,1,0
89,2013-03-01,ark://27927/pgg1rz7zmj2,2013,0,1
90,2012-01-01,ark://27927/pgg1sn9xb5x,2012,0,1
91,2012-01-01,ark://27927/pgg1sn9xbwh,2012,1,0
92,2013-02-01,ark://27927/pgg1tsst8dm,2013,1,0
